wavelength_nm,dark_mean,water_mean_raw,water_corr,corr_2pct,trans_2pct,norm_2pct,corr_4pct,trans_4pct,norm_4pct,corr_6pct,trans_6pct,norm_6pct,corr_8pct,trans_8pct,norm_8pct,corr_10pct,trans_10pct,norm_10pct,corr_12pct,trans_12pct,norm_12pct,corr_14pct,trans_14pct,norm_14pct,corr_16pct,trans_16pct,norm_16pct,corr_18pct,trans_18pct,norm_18pct,corr_20pct,trans_20pct,norm_20pct
1071.512,2910.87616,52125.41303,49214.53687,49799.87452,1.0118935925689225,0.0078001773804719805,47511.60168,0.965397719895276,0.007820611877893159,48960.58406,0.9948398821537056,0.007743772726364984,48580.37554,0.9871143493298508,0.007739593843409792,50293.50453,1.0219237592918955,0.007618284431620144,48498.17652,0.9854441310320106,0.0076620555716698634,49893.6872,1.0137997911428887,0.007637795000838573,48865.88463,0.992915665529456,0.007599409472153217,49541.88178,1.0066513865784144,0.007567197551809143,50102.47911,1.018042275646025,0.007554019725632362
1077.422,2935.99886,47863.30064,44927.30178,45479.67628,1.0122948514180723,0.0078024940855175055,43419.00296,0.9664280123612622,0.007824998903082752,44726.87857,0.9955389439815141,0.007746974335665775,44378.67162,0.9877884907781346,0.0077443762400937035,45979.019870000004,1.0234093312603114,0.00762928624749846,44333.71155,0.9867877614171736,0.007671130223690653,45617.16739,1.0153551533848646,0.007648142834392702,44677.45005,0.9944387550531417,0.00761017560709967,45297.62541,1.008242730262623,0.007579051707468403,45830.34535,1.0201001069332414,0.007567147648748452
1083.332,2927.06246,43575.47188,40648.409419999996,41153.828219999996,1.0124339133366267,0.007804860332439123,39307.39716,0.967009477636776,0.007828865638969552,40498.12793,0.9963028937135717,0.00775150707126563,40191.14195,0.988750667577782,0.007750581117155268,41686.12102,1.0255289595535668,0.007643660341561632,40180.14336,0.9884800889707237,0.007684525522344448,41355.67645,1.017399623751379,0.007663071390041766,40515.50573,0.9967304085966373,0.0076263918475786,41078.19197,1.010573170171538,0.007596677218724846,41566.64303,1.0225896565967034,0.0075868400494679975
1089.242,2925.86283,39417.31237,36491.44954,36962.965950000005,1.0129212847377618,0.0078070414364225,35311.625830000004,0.967668488786483,0.007832397281465816,36384.95615,0.9970816892356312,0.00775770852123403,36115.261020000005,0.9896910502393818,0.0077580467384607416,37504.9694,1.0277741737523753,0.007659484750809091,36159.651150000005,0.9909075031498462,0.007702277473192356,37215.0463,1.0198292139424834,0.007682320318753309,36475.96591,0.9995756915607578,0.00764767409340154,36998.09132,1.0138838491314148,0.00761949012857681,37448.17568,1.0262178168327154,0.007611556043388183
1095.152,2932.41734,35732.9847,32800.56736,33232.69428,1.0131743733349863,0.007808149836678125,31751.881419999998,0.9680284207132689,0.00783576050028455,32731.549980000003,0.9978958479820638,0.007764579500271764,32503.71232,0.9909496980115651,0.007766537773133589,33799.26715,1.0304476376593992,0.007675073554241531,32599.997539999997,0.9938851722350206,0.007723826721799968,33559.80679,1.02314714320844,0.00770396893571549,32901.60992,1.0030805125683047,0.007672974412635476,33384.91519,1.0178151744628847,0.0076465516657218575,33802.06502,1.0305329370985612,0.007639679822727871
1101.062,2934.43412,32766.08179,29831.64767,30227.930480000003,1.0132839732616754,0.007808357083597802,28887.09919,0.9683373680713628,0.007838098487297076,29801.545,0.9989909149392954,0.007772175814150227,29599.239240000003,0.9922093331025187,0.007775994369208887,30818.15159,1.0330690389921733,0.007691373629669323,29753.404609999998,0.9973771794013683,0.007748067533008045,30631.275630000004,1.0268046863802345,0.007727448814989929,30051.34235,1.0073644835991051,0.007701448608930908,30498.37485,1.0223496599106892,0.007676696282562028,30885.24987,1.0353182704373232,0.007670801517355464
1106.972,2931.89576,30692.92665,27761.03089,28128.13121,1.013223583859497,0.007807959101914514,26881.10981,0.9683037318215383,0.00784011048854189,27767.31078,1.0002262124207448,0.007781075866311244,27581.45682,0.9935314336592346,0.007786821952910069,28723.61235,1.0346738369988535,0.007709561847735511,27788.76137,1.0009988995044845,0.007775803792775366,28602.22925,1.0303014093148468,0.007753901658223723,28084.37677,1.0116474738017194,0.007733617571829528,28502.86003,1.0267219593875823,0.007711258778621645,28865.30288,1.039777773180526,0.007706000434863049
1112.882,2934.5906,29529.60433,26595.01373,26938.09157,1.012900081326636,0.007807157320660409,25752.09144,0.9683052508053734,0.00784300357397197,26622.21573,1.0010228233110223,0.007793353526971607,26454.03731,0.9946991409205037,0.007801173573641117,27567.618590000002,1.036570947842861,0.007734488996658505,26724.57281,1.0048715552966176,0.007808947910295367,27497.61828,1.033938863847317,0.007785965673286023,27022.9902,1.016092357550364,0.007772266551234211,27443.129960000002,1.0318900467061352,0.007753325697660463,27781.62965,1.0446179848616306,0.007749241094704234
1118.791,2924.159,29241.84834,26317.68934,26646.21419,1.0124830430877028,0.007806955475347549,25487.34576,0.9684492217659105,0.00784910469673403,26380.18299,1.0023745872668623,0.007812657933283167,26218.62403,0.9962357899768414,0.007822958411678797,27336.83735,1.038724828644094,0.007773784378761307,26545.11961,1.008641726371256,0.007852872698222078,27296.64937,1.0371977956481189,0.007828683982051405,26857.80515,1.0205229191294953,0.007823544370960975,27274.51611,1.0363567924842751,0.0078106338483986985,27620.64423,1.049508711542531,0.007808948840218039
1124.701,2916.97861,29466.39457,26549.41596,26869.934419999998,1.0120725239486585,0.007807888093958547,25719.716699999997,0.9687488696079023,0.007859847455896301,26663.889689999996,1.0043117230967515,0.007841727038174567,26507.5377,0.9984226297081981,0.007855932228190022,27680.91356,1.0426185495645082,0.007837638393721412,26907.443509999997,1.0134853267785404,0.007912497952006256,27664.701889999997,1.0420079270926454,0.007888925013265408,27244.98975,1.0261992124816595,0.007894463278287267,27685.930650000002,1.042807521329746,0.00789205097575501,28032.228819999997,1.055851053832372,0.007894881566037128
1130.61,2924.12423,29416.51267,26492.38844,26815.41604,1.0121932229980546,0.007811006378420682,25702.10951,0.9701695854343286,0.007875812695413882,26707.76902,1.008129904198249,0.007878900760164287,26558.909,1.002510931022722,0.007899563943633179,27848.68325,1.0511956410827863,0.007930311517379126,27043.11538,1.0207881196233888,0.007986513843071643,27807.932249999998,1.0496574256783018,0.007966674905413506,27419.108089999998,1.034980600261801,0.007985083271428186,27899.58787,1.053117122043829,0.007996421793095197,28269.45281,1.0670782996416008,0.008008006754938454
1136.519,2916.90907,27886.36847,24969.4594,25293.839809999998,1.0129910866232048,0.007816153679818152,24302.84706,0.9733028925728364,0.007894076612834554,25350.67245,1.015267172744637,0.007916552201918996,25229.377819999998,1.0104094532379022,0.00794648380730813,26651.63814,1.067369449736665,0.008037717419474712,25805.56054,1.0334849516205384,0.008061096410929475,26539.70709,1.0628867315405315,0.008048373049864445,26219.28665,1.0500542374577801,0.008080139877937646,26748.858559999997,1.0712630230192328,0.008104322377354117,27140.65569,1.0869540767871009,0.008128433499475788
1142.428,2931.2351,24957.61666,22026.38156,22337.63289,1.0141308425604154,0.007822391597685741,21533.531880000002,0.977624573575216,0.00791116594489808,22580.32595,1.025149132575001,0.007948958543333794,22503.55831,1.0216638737824535,0.007988274852176697,24076.29015,1.0930660619138026,0.008139814671819776,23152.62337,1.0511314946094124,0.008124713200031011,23851.16042,1.0828451488969848,0.008120840911309784,23619.56486,1.0723306865297033,0.008163965085425244,24191.189270000003,1.0982824938405362,0.008198794450532038,24592.91403,1.116520839476459,0.008236091921447685
1148.337,2922.12485,22719.48633,19797.36148,20115.21126,1.0160551586796607,0.007828670936432202,19443.10384,0.9821058154462713,0.007925983732774611,20464.08666,1.0336774767018095,0.007974469410650352,20440.90168,1.0325063620548691,0.008022043583318688,22207.6744,1.1217491998837816,0.008226338110188958,21138.17526,1.0677268928667356,0.008173333832775308,21829.16174,1.1026298510562933,0.008178003706237906,21671.40183,1.0946611169318305,0.008229879861869,22253.46793,1.1240623126713751,0.008272457024124968,22701.15926,1.1466759993716091,0.008321909367055805
1154.246,2922.15962,22483.4459,19561.28628,19905.05859,1.0175741157856006,0.007834771486496899,19250.155430000003,0.9840945607795687,0.007937181631142492,20244.05283,1.0349039700266582,0.007991544970897787,20277.449920000003,1.0366112754421588,0.008045304501187274,22250.751510000002,1.1374891810028764,0.00828949281874251,20971.85901,1.0721104282105522,0.008203962723173485,21711.85896,1.1099402487759102,0.008215353506533421,21579.428470000003,1.1031702190291752,0.00827279908929727,22153.59489,1.1325224002600713,0.008319810304543596,22660.104140000003,1.1584158534179994,0.008379417775829614
1160.154,2925.88021,23643.70064,20717.82043,21093.79537,1.0181474176431984,0.007839090012024149,20370.23948,0.9832230928357362,0.007942410730939738,21371.174740000002,1.0315358612266918,0.007996595068546527,21413.24518,1.03356650147392,0.008053674505515052,23507.58003,1.1346550719186825,0.008321156656034959,22085.08376,1.065994554524672,0.008211248477208832,22885.16382,1.1046125193199197,0.008227416160256424,22733.915230000002,1.0973121090035436,0.008286623992311557,23296.467790000002,1.124465185356373,0.008333565633188201,23851.206140000002,1.1512410883464734,0.008400077803995655
1166.063,2919.8299,25119.55067,22199.72077,22594.30995,1.0177745109539051,0.007841528136570321,21790.33509,0.9815589716536782,0.007940404168095761,22805.06306,1.0272680136958316,0.007987454271777697,22834.34961,1.0285872442529826,0.008044363880085274,24950.61445,1.1239156883323267,0.008312445275683273,23472.17723,1.0573185795075206,0.00819115884832812,24312.79668,1.0951847967770632,0.00820866067337471,24121.801789999998,1.0865813151396677,0.008265097288722136,24675.170599999998,1.1115081516405938,0.008305952859286012,25239.85461,1.1369446882461847,0.008374876352635003
1171.971,2940.95388,26682.22011,23741.266229999997,24162.266779999998,1.017732859988235,0.007841208123485592,23262.88595,0.979850262603285,0.00793172780977563,24299.080869999998,1.0234955724179164,0.007965870642535872,24294.18192,1.0232892249572318,0.008018558055597395,26365.52129,1.1105355979995681,0.008261676183850096,24890.37125,1.0484011681966638,0.008146154572734971,25745.096719999998,1.084402848213206,0.00816073113409846,25505.17883,1.074297326137183,0.008209780645811675,26050.83239,1.0972806647137288,0.008240077800557497,26623.95843,1.1214211648221764,0.008305520870837241
