wavelength_nm,dark_mean,dark_std,water_mean_raw,water_std_raw,water_corr,std_T_mean_2pct,std_T_std_2pct,std_A_mean_2pct,std_A_std_2pct,std_T_mean_4pct,std_T_std_4pct,std_A_mean_4pct,std_A_std_4pct,std_T_mean_6pct,std_T_std_6pct,std_A_mean_6pct,std_A_std_6pct,std_T_mean_8pct,std_T_std_8pct,std_A_mean_8pct,std_A_std_8pct,std_T_mean_10pct,std_T_std_10pct,std_A_mean_10pct,std_A_std_10pct,std_T_mean_12pct,std_T_std_12pct,std_A_mean_12pct,std_A_std_12pct,std_T_mean_14pct,std_T_std_14pct,std_A_mean_14pct,std_A_std_14pct,std_T_mean_16pct,std_T_std_16pct,std_A_mean_16pct,std_A_std_16pct,std_T_mean_18pct,std_T_std_18pct,std_A_mean_18pct,std_A_std_18pct,std_T_mean_20pct,std_T_std_20pct,std_A_mean_20pct,std_A_std_20pct,creme_soda_flat_T_mean,creme_soda_flat_T_std,creme_soda_flat_A_mean,creme_soda_flat_A_std,sprite_flat_T_mean,sprite_flat_T_std,sprite_flat_A_mean,sprite_flat_A_std,tonic_flat_T_mean,tonic_flat_T_std,tonic_flat_A_mean,tonic_flat_A_std
1420.018,2935.00786,0.0,8974.9076,0.0,6039.899740000001,1.009053392002166,0.0,0.0018856240298743433,0.0,0.9516819496079914,0.0,0.005943651382381614,0.0,0.9952860227444768,0.0,0.0038927703784279676,0.0,0.9829607982863634,0.0,0.006086169981012116,0.0,1.0187025438935513,0.0,0.012320366408337861,0.0,0.9850572734838144,0.0,0.00909290531862721,0.0,1.0160275342583747,0.0,0.009253634013584172,0.0,0.999424076532767,0.0,0.009689338951361372,0.0,1.0174902986055194,0.0,0.009664930009089755,0.0,1.025207112129977,0.0,0.012008491777911455,0.0,0.9656038711000191,0.0,-0.0017714356668325198,0.0,1.0741835741134338,0.0,-0.004754506132257787,0.0,1.0046131179654316,0.0,-0.0061056568042705435,0.0
1425.921,2929.14878,0.0,9059.1033,0.0,6129.954520000001,1.0092433850553266,0.0,0.0018038591122772202,0.0,0.9519257102090211,0.0,0.0058324269039915395,0.0,0.9950944709456016,0.0,0.003976362324561587,0.0,0.982814676739233,0.0,0.006150734609606818,0.0,1.0197460796169169,0.0,0.011875712723482052,0.0,0.984985240967171,0.0,0.009124664353551908,0.0,1.0161544412241414,0.0,0.00919939182889384,0.0,0.9992736797662244,0.0,0.00975469799399098,0.0,1.0177686995302535,0.0,0.00954611664309198,0.0,1.024892308662675,0.0,0.012141868148268212,0.0,0.9644337573323465,0.0,-0.0012448407369989867,0.0,1.0730814100721906,0.0,-0.004308670330131544,0.0,1.0034131085200937,0.0,-0.005586582366388201,0.0
1431.824,2913.60574,0.0,9090.96477,0.0,6177.3590300000005,1.009386239284201,0.0,0.0017423908739513721,0.0,0.9523968270952189,0.0,0.0056175436957394895,0.0,0.9951885134317666,0.0,0.003935320791114397,0.0,0.9831777383352119,0.0,0.00599033149888463,0.0,1.0203007805424575,0.0,0.01163953819071959,0.0,0.9847825827277519,0.0,0.009214028545964596,0.0,1.016258201848436,0.0,0.00915504781562199,0.0,0.9987865785421249,0.0,0.00996644874281442,0.0,1.017646084592237,0.0,0.00959844110438534,0.0,1.0249175771154748,0.0,0.012131160862979037,0.0,0.9635979277053612,0.0,-0.000868294832315139,0.0,1.0714439597660879,0.0,-0.003645459924200147,0.0,1.0026379768313385,0.0,-0.005250962367090663,0.0
1437.728,2925.82805,0.0,9139.32976,0.0,6213.5017100000005,1.0093817500534652,0.0,0.0017443223966888593,0.0,0.9522382959157503,0.0,0.005689840185266564,0.0,0.9949563335679841,0.0,0.0040366545550957434,0.0,0.9827722249069758,0.0,0.006169493990312284,0.0,1.0205627222721083,0.0,0.011528056116357141,0.0,0.9843844880828077,0.0,0.009389625947010616,0.0,1.0161687555083974,0.0,0.009193274086720906,0.0,0.9988244583584416,0.0,0.009949978073700252,0.0,1.0169943801302985,0.0,0.009876654052803656,0.0,1.0248838492715242,0.0,0.012145452800068169,0.0,0.9630856494928043,0.0,-0.0006373491712958652,0.0,1.070044034799179,0.0,-0.003077649339825489,0.0,1.0012539048613216,0.0,-0.0046510348757803485,0.0
1443.63,2918.7172,0.0,9119.86915,0.0,6201.15195,1.0097567033492867,0.0,0.0015830257318226165,0.0,0.953051466510186,0.0,0.005319129618908618,0.0,0.9955099471478036,0.0,0.0037950716341978216,0.0,0.9833323113457976,0.0,0.005922058056094286,0.0,1.0215770055433007,0.0,0.01109664815931334,0.0,0.984395281589576,0.0,0.009384864052864669,0.0,1.016489994250181,0.0,0.009056003416857344,0.0,0.9988529534419809,0.0,0.009937588428134627,0.0,1.0175808770497874,0.0,0.009626270212792196,0.0,1.0255898954387013,0.0,0.011846368778842707,0.0,0.9628798952426895,0.0,-0.0005445563006890065,0.0,1.068566662037688,0.0,-0.002477619665381084,0.0,1.0003281261314683,0.0,-0.004249292038081155,0.0
1449.533,2922.69858,0.0,9094.91263,0.0,6172.2140500000005,1.00974624170722,0.0,0.00158752528794592,0.0,0.9531237870792895,0.0,0.005286175226026164,0.0,0.9955536376772286,0.0,0.0037760119155747047,0.0,0.9836174281739304,0.0,0.005796152789136804,0.0,1.0222053608137585,0.0,0.010829602861609456,0.0,0.9847417540550135,0.0,0.009232034586250656,0.0,1.0163196122467593,0.0,0.009128805083908193,0.0,0.9987827512236065,0.0,0.009968112948695318,0.0,1.0173282859495125,0.0,0.009734087233409443,0.0,1.0256482793236894,0.0,0.011821646345922693,0.0,0.9615837480555296,0.0,4.044789847407887e-05,0.0,1.067142728143072,0.0,-0.0018985083616595948,0.0,0.9987263970535823,0.0,-0.0035533407863038067,0.0
1455.436,2929.9833,0.0,9069.38182,0.0,6139.398520000001,1.0100137676027585,0.0,0.0014724769452294697,0.0,0.9537168764864606,0.0,0.005016015825676366,0.0,0.9954929786835208,0.0,0.0038024742455239576,0.0,0.9837590930650321,0.0,0.005733608299124822,0.0,1.0228540824549697,0.0,0.010554074206981384,0.0,0.9845523206074589,0.0,0.009315587268679495,0.0,1.0163674356164778,0.0,0.009108369645407767,0.0,0.9993002979060559,0.0,0.009743129634373385,0.0,1.017126580015529,0.0,0.009820203446502916,0.0,1.0258424191691011,0.0,0.011739448689463907,0.0,0.9609585549432617,0.0,0.0003229050677434307,0.0,1.06599604320848,0.0,-0.001431591727606766,0.0,0.9968952333135069,0.0,-0.002756331454603172,0.0
1461.339,2931.66975,0.0,9039.17219,0.0,6107.502439999999,1.0099267123665694,0.0,0.0015099113242085021,0.0,0.9539813609963946,0.0,0.004895594092624158,0.0,0.9954038659377107,0.0,0.0038413523761543756,0.0,0.9839587767729162,0.0,0.005645464023883882,0.0,1.0226691763712172,0.0,0.01063259073493212,0.0,0.9852118061536134,0.0,0.009024779917281098,0.0,1.0168347685506616,0.0,0.008908723867249637,0.0,0.9990346463128061,0.0,0.009858596785734131,0.0,1.0173273807157088,0.0,0.00973447367525532,0.0,1.0261600796020311,0.0,0.011604986695070466,0.0,0.9603609867735069,0.0,0.0005930533293092427,0.0,1.064816000302736,0.0,-0.0009505674379923952,0.0,0.9949738636535035,0.0,-0.0019184847295221834,0.0
1467.241,2926.22793,0.0,8973.48141,0.0,6047.25348,1.0098591799065781,0.0,0.001538952991294782,0.0,0.95464885821191,0.0,0.004591826116737221,0.0,0.9954441879952416,0.0,0.0038237602278711775,0.0,0.9842844590003857,0.0,0.005501739922142672,0.0,1.0233733033462984,0.0,0.010333673703696871,0.0,0.9855902832106848,0.0,0.00885797422905821,0.0,1.0173827639849486,0.0,0.008674735716848202,0.0,0.9998820786986424,0.0,0.009490362105020559,0.0,1.0178400393429512,0.0,0.00951567613022166,0.0,1.0267323208022694,0.0,0.011362868596753194,0.0,0.9589147336354088,0.0,0.0012475709366709387,0.0,1.0636729998624102,0.0,-0.00048413436577683655,0.0,0.992893018269841,0.0,-0.0010092689202465424,0.0
1473.143,2929.14878,0.0,8901.40488,0.0,5972.2561000000005,1.0106881551847717,0.0,0.001182594688867446,0.0,0.9553010092785538,0.0,0.004295247001820764,0.0,0.996181880077112,0.0,0.0035020375709054656,0.0,0.9845350185167043,0.0,0.0053911999593318554,0.0,1.024101689142232,0.0,0.010024674622998957,0.0,0.9865650218851132,0.0,0.008428673695800531,0.0,1.0184754166854968,0.0,0.00820856072631747,0.0,1.0008591443357562,0.0,0.009066185061529612,0.0,1.0190811492494436,0.0,0.008986438913242639,0.0,1.0282310465554214,0.0,0.010729389236270656,0.0,0.9579574258377835,0.0,0.001681354198117515,0.0,1.0632640803866398,0.0,-0.0003171416740728114,0.0,0.9907356635292315,0.0,-6.460862433508262e-05,0.0
