wavelength_nm,dark_mean,water_mean_raw,water_corr,std_T_mean_2pct,std_T_std_2pct,std_S_mean_2pct,std_T_mean_4pct,std_T_std_4pct,std_S_mean_4pct,std_T_mean_6pct,std_T_std_6pct,std_S_mean_6pct,std_T_mean_8pct,std_T_std_8pct,std_S_mean_8pct,std_T_mean_10pct,std_T_std_10pct,std_S_mean_10pct,std_T_mean_12pct,std_T_std_12pct,std_S_mean_12pct,std_T_mean_14pct,std_T_std_14pct,std_S_mean_14pct,std_T_mean_16pct,std_T_std_16pct,std_S_mean_16pct,std_T_mean_18pct,std_T_std_18pct,std_S_mean_18pct,std_T_mean_20pct,std_T_std_20pct,std_S_mean_20pct,creme_soda_flat_T_mean,creme_soda_flat_T_std,creme_soda_flat_S_mean,sprite_flat_T_mean,sprite_flat_T_std,sprite_flat_S_mean,tonic_flat_T_mean,tonic_flat_T_std,tonic_flat_S_mean
1077.422,2935.99886,47863.30064,44927.30178,1.0121566180428323,0.0,0.007802584608404377,0.966396751292693,0.0,0.007824662069279904,0.9958881551276304,0.0,0.0077500125402750735,0.9882605097848848,0.0,0.0077476583200876145,1.0240646175561883,0.0,0.007635359068548754,0.9879714811033746,0.0,0.007680214028840877,1.0164061015653785,0.0,0.007657390579007546,0.9959145723471035,0.0,0.0076211047468880905,1.009789065512561,0.0,0.007590723182797848,1.0215164138488897,0.0,0.0075795531510266575,0.9308818018117205,0.0,0.007571581463976606,1.0207821657924574,0.0,0.007522803933516488,0.9532406086598438,0.0,0.007530301540577669
1083.332,2927.06246,43575.47188,40648.409419999996,1.0124635727749203,0.0,0.007804233493054303,0.9668742978131963,0.0,0.007828242033378476,0.9964708468339185,0.0,0.007754309178240546,0.9890523146737367,0.0,0.00775333995105579,1.0259940249295643,0.0,0.007647355837491486,0.9896966731761074,0.0,0.0076931428316343795,1.0183900439913796,0.0,0.0076711682706307556,0.99803672971054,0.0,0.0076364606190438096,1.0121373868102355,0.0,0.007607214244529143,1.0241747616830876,0.0,0.007597310326587195,0.9298609194548815,0.0,0.0075662177628482135,1.0205997471189723,0.0,0.007524086314721006,0.951010149276682,0.0,0.007517694834556294
1089.242,2925.86283,39417.31237,36491.44954,1.0127465103596487,0.0,0.007805592015932245,0.9673104598979951,0.0,0.007831649629398278,0.9972680549180751,0.0,0.00775986168622779,0.9900050032426382,0.0,0.007760455733376357,1.028118105358368,0.0,0.007661404769850403,0.9919829622443753,0.0,0.007710037572902073,1.0209481458750196,0.0,0.0076885113847574025,1.0008218558155888,0.0,0.007656403220967294,1.0151768471293063,0.0,0.0076286254008965685,1.0275112623892995,0.0,0.007619982351162711,0.929814177675167,0.0,0.007567501533079034,1.0219990070846177,0.0,0.00753500563872722,0.9500322868388156,0.0,0.007514740362526957
1095.152,2932.41734,35732.9847,32800.56736,1.0128902944678935,0.0,0.007806589152158417,0.9677258214565807,0.0,0.007834848484215767,0.9981513322262633,0.0,0.007766944819172524,0.9910885448984458,0.0,0.00776925303819764,1.0302105608656484,0.0,0.007678006384290434,0.9947583085678906,0.0,0.007731023194415993,1.0238251562613665,0.0,0.0077096797764013205,1.0041328118185757,0.0,0.0076810985320723115,1.0187823700046952,0.0,0.007655216856220601,1.0313077922772431,0.0,0.007647873121469036,0.9306409183382272,0.0,0.007576739787022907,1.0247767936424923,0.0,0.007556377120287528,0.9506696738097766,0.0,0.007523189270000745
1101.062,2934.43412,32766.08179,29831.64767,1.0129171789921265,0.0,0.007807226494785791,0.9680145656572446,0.0,0.007838292213260649,0.9991278526955987,0.0,0.007776328404119117,0.9922953019268325,0.0,0.007780479318571968,1.0323984890633318,0.0,0.007698650171061967,0.997880303561331,0.0,0.007756987644428891,1.0269455337275457,0.0,0.0077354727734793155,1.0078591209723404,0.0,0.007711581564827822,1.0227986646077885,0.0,0.007688302159500369,1.0355090215071416,0.0,0.00768241863010437,0.9325059849635648,0.0,0.007595684725514034,1.029104984137495,0.0,0.007589034393976944,0.9529736235698565,0.0,0.007544880767416559
1106.972,2931.89576,30692.92665,27761.03089,1.0128655519367025,0.0,0.007807659032975766,0.9682630502245484,0.0,0.007842718243963362,1.00027197117891,0.0,0.007789217264566445,0.9936770108026062,0.0,0.0077955298203125885,1.0348398590648948,0.0,0.007726362927705579,1.001452480391019,0.0,0.0077895566890043766,1.030461005633441,0.0,0.007767739333869607,1.012068950098772,0.0,0.007749879720824175,1.0274035719161039,0.0,0.007730501140358607,1.0402606496836655,0.0,0.007726427722061298,0.9356707006055691,0.0,0.0076267851303350965,1.0350368989899672,0.0,0.007634127956093922,0.9573160562938837,0.0,0.007581975431434617
1112.882,2934.5906,29529.60433,26595.01373,1.0127615431167443,0.0,0.007808225454348204,0.9686203497456692,0.0,0.007848920525629396,1.0018502876021411,0.0,0.007806530836144762,0.9955084223430833,0.0,0.007815747024686188,1.0381857829692394,0.0,0.007765054708507406,1.0057211398872394,0.0,0.007830163823008718,1.0347221787385579,0.0,0.007808363629870573,1.0171267941989213,0.0,0.007798083847987239,1.0330083251893059,0.0,0.007784352004618871,1.0460978615135064,0.0,0.007783067606240969,0.9404059971582361,0.0,0.007671587072568649,1.0425578308844488,0.0,0.007691632154459651,0.9637287793915071,0.0,0.00763569212082849
1118.791,2924.159,29241.84834,26317.68934,1.0127353593007755,0.0,0.007809368862705307,0.9693738457256074,0.0,0.007857251505869176,1.0043319054253659,0.0,0.007828241716900365,0.9982883873754171,0.0,0.00784145418689797,1.0434603275517058,0.0,0.007816863978028412,1.0113782512280278,0.0,0.007878347507130148,1.0403992627859995,0.0,0.0078575668969656,1.0238373263259892,0.0,0.007856253741232657,1.040643732125927,0.0,0.007849752051298236,1.054158024326155,0.0,0.007852894575488014,0.9472089152418386,0.0,0.007729363448744546,1.0518770177871077,0.0,0.007759475968100129,0.972497984866252,0.0,0.007704237663721945
1124.701,2916.97861,29466.39457,26549.41596,1.0128563406291669,0.0,0.007811373797136839,0.970700589369015,0.0,0.007867689848187058,1.0080687936590382,0.0,0.007853496968082673,1.0024961789011222,0.0,0.007871780661360616,1.0520313308262244,0.0,0.007880930697596699,1.0190574391148912,0.0,0.007932156599469218,1.048405043145535,0.0,0.007913768828339527,1.033118212458932,0.0,0.007922331383750683,1.051491279830191,0.0,0.007924342329113735,1.0657583913317457,0.0,0.00793365614832127,0.9566638482410497,0.0,0.007797248375081012,1.0635358982892857,0.0,0.007833444091482697,0.983942218766974,0.0,0.007783728573444468
1130.61,2924.12423,29416.51267,26492.38844,1.013260851317762,0.0,0.007814332636317485,0.9726723156011198,0.0,0.007879957612095622,1.0128475456991903,0.0,0.007881125246941572,1.0080640258147842,0.0,0.007905384517296494,1.0644706683812142,0.0,0.007954760157378938,1.0285900095952127,0.0,0.00798894931607999,1.0587376776800275,0.0,0.00797435813458389,1.044977304334662,0.0,0.007993230138417658,1.0653970445850183,0.0,0.008004518693655335,1.0810295665019003,0.0,0.008021649458884918,0.9684253556992789,0.0,0.00787109114797529,1.076752032528775,0.0,0.007908640962450413,0.9977211335971068,0.0,0.007868719086511664
